Apartment_ID,Building Age,floor,Bedrooms ,Living room,Guest room,Bathroom,Kitchen,Storage ,Maid's room ,Terrace,Garden,Roof,Duplex,Balcony,size,city,location,furnished,furnishing_level(1-5),Price per SQM,price,floor_number,is_basement,total_rooms,amenities_score,price_per_sqm,city_enc,location_enc,predicted_price,error,error_pct,price_range
A504,11,101,3,1,1,3,1,1,1,1,0,0,0,0,180,Madaba,Khrabet Hanena,0,0,400.0,72000.0,1,0,9,3,400.0,5,54,74344.27161491252,-2344.271614912519,-3.26,50K-80K
A505,12,-101,3,1,1,2,1,1,0,1,0,0,0,0,144,Amman,Wadi Al Sair,0,0,650.0,93600.0,0,1,8,2,650.0,1,83,91488.81502203987,2111.1849779601325,2.26,80K-120K
A506,16,122,1,1,1,1,1,1,0,0,0,0,0,0,66,Aqaba,Al Tasaa,0,0,300.0,19800.0,1,0,5,1,300.0,2,30,22388.501284110276,-2588.501284110276,-13.07,Under 50K
A507,12,131,3,1,1,3,1,1,1,0,0,0,0,1,161,Amman,Shmesani,0,0,520.0,83720.0,1,0,9,3,520.0,1,75,80118.7227565061,3601.277243493896,4.3,80K-120K
A508,30,101,3,1,1,3,1,1,0,0,1,0,0,0,212,Amman,Wadi Al Sair,0,0,350.0,74200.0,1,0,9,2,350.0,1,83,77720.07940261714,-3520.079402617135,-4.74,50K-80K
A509,19,133,2,1,0,2,1,1,0,0,0,0,0,0,101,Zarqa,Wadi Al Hajar,0,0,220.0,22220.0,1,0,6,1,220.0,7,82,22100.55067323337,119.44932676662938,0.54,Under 50K
A510,3,-101,3,1,1,4,1,1,1,0,1,0,0,0,233,Amman,Bunayat,0,0,644.0,150052.0,0,1,10,3,644.0,1,36,143494.87571268133,6557.124287318671,4.37,120K-180K
A511,3,-102,3,1,1,4,1,1,1,0,1,0,0,0,243,Amman,Bunayat,0,0,658.0,159894.0,0,1,10,3,658.0,1,36,145874.6732976183,14019.326702381688,8.77,120K-180K
A512,3,101,3,1,1,4,1,1,1,1,1,0,0,0,233,Amman,Bunayat,0,0,536.0,124888.0,1,0,10,4,536.0,1,36,134065.43914350984,-9177.439143509837,-7.35,120K-180K
A513,3,102,3,1,1,4,1,1,1,1,1,0,0,0,243,Amman,Bunayat,0,0,535.0,130005.0,1,0,10,4,535.0,1,36,135173.0623204221,-5168.06232042209,-3.98,120K-180K
A514,3,111,3,1,1,4,1,1,1,0,0,0,0,1,233,Amman,Bunayat,0,0,541.0,126053.0,1,0,10,3,541.0,1,36,128036.13637370752,-1983.1363737075153,-1.57,120K-180K
A515,3,112,3,1,1,4,1,1,1,0,0,0,0,1,243,Amman,Bunayat,0,0,523.0,127089.0,1,0,10,3,523.0,1,36,128440.87458735231,-1351.8745873523148,-1.06,120K-180K
A516,3,121,3,1,1,4,1,1,1,0,0,0,0,1,233,Amman,Bunayat,0,0,558.0,130014.0,1,0,10,3,558.0,1,36,128036.13637370752,1977.8636262924847,1.52,120K-180K
A517,3,122,3,1,1,4,1,1,1,0,0,0,0,1,243,Amman,Bunayat,0,0,540.0,131220.0,1,0,10,3,540.0,1,36,128440.87458735231,2779.125412647685,2.12,120K-180K
A518,3,131,3,1,1,5,1,1,1,1,0,1,0,1,281,Amman,Bunayat,0,0,541.0,152021.0,1,0,11,5,541.0,1,36,137592.79979043637,14428.200209563627,9.49,120K-180K
A519,3,132,3,1,1,5,1,1,1,1,0,1,1,1,292,Amman,Bunayat,0,0,548.0,160016.0,1,0,11,6,548.0,1,36,152984.3818168912,7031.618183108803,4.39,120K-180K
A520,2,-101,3,1,1,4,1,1,1,0,1,0,0,0,195,Amman,Bunayat,0,0,590.0,115050.0,0,1,10,3,590.0,1,36,109361.94085710526,5688.059142894737,4.94,80K-120K
A521,2,101,3,1,1,4,1,1,1,1,0,0,0,0,195,Amman,Bunayat,0,0,564.0,109980.0,1,0,10,3,564.0,1,36,110989.21419502891,-1009.2141950289079,-0.92,80K-120K
A522,2,102,3,1,1,4,1,1,1,1,1,0,0,0,200,Amman,Bunayat,0,0,570.0,114000.0,1,0,10,4,570.0,1,36,115032.41513614837,-1032.4151361483673,-0.91,80K-120K
A523,2,111,3,1,1,4,1,1,1,0,0,0,0,1,195,Amman,Bunayat,0,0,538.0,104910.0,1,0,10,3,538.0,1,36,107821.95985758964,-2911.959857589638,-2.78,80K-120K
A524,2,112,3,1,1,4,1,1,1,0,0,0,0,1,200,Amman,Bunayat,0,0,550.0,110000.0,1,0,10,3,550.0,1,36,109348.83957720733,651.1604227926728,0.59,80K-120K
A525,2,121,3,1,1,4,1,1,1,0,0,0,0,1,195,Amman,Bunayat,0,0,513.0,100035.0,1,0,10,3,513.0,1,36,107821.95985758964,-7786.959857589638,-7.78,80K-120K
A526,2,122,3,1,1,4,1,1,1,0,0,0,0,1,200,Amman,Bunayat,0,0,555.0,111000.0,1,0,10,3,555.0,1,36,109348.83957720733,1651.1604227926728,1.49,80K-120K
A527,2,131,3,1,1,5,1,1,1,1,0,1,1,1,235,Amman,Bunayat,0,0,519.0,121965.0,1,0,11,6,519.0,1,36,125672.14137800099,-3707.14137800099,-3.04,120K-180K
A528,2,132,3,1,1,5,1,1,1,1,0,1,1,1,240,Amman,Bunayat,0,0,508.0,121920.0,1,0,11,6,508.0,1,36,125672.14137800099,-3752.14137800099,-3.08,120K-180K
A529,9,-101,3,1,1,3,1,1,0,0,1,0,0,0,168,Amman,Bunayat,0,0,565.0,94920.0,0,1,9,2,565.0,1,36,95162.3203096003,-242.32030960029806,-0.26,80K-120K
A530,9,-102,3,1,1,3,1,1,0,0,1,0,0,0,168,Amman,Bunayat,0,0,655.0,110040.0,0,1,9,2,655.0,1,36,95162.3203096003,14877.679690399702,13.52,80K-120K
A531,9,101,3,1,1,3,1,1,1,1,0,0,0,0,172,Amman,Bunayat,0,0,581.0,99932.0,1,0,9,3,581.0,1,36,101275.36729852541,-1343.3672985254088,-1.34,80K-120K
A532,9,102,3,1,1,3,1,1,0,1,0,0,0,0,168,Amman,Bunayat,0,0,570.0,95760.0,1,0,9,2,570.0,1,36,101136.41011487292,-5376.410114872924,-5.61,80K-120K
A533,9,111,3,1,1,3,1,1,1,0,0,0,0,1,172,Amman,Bunayat,0,0,552.0,94944.0,1,0,9,3,552.0,1,36,90439.4062483583,4504.593751641703,4.74,80K-120K
A534,9,112,3,1,1,3,1,1,0,0,0,0,0,1,168,Amman,Bunayat,0,0,536.0,90048.0,1,0,9,2,536.0,1,36,90300.44906470581,-252.4490647058119,-0.28,80K-120K
A535,9,121,3,1,1,3,1,1,1,0,0,0,0,1,172,Amman,Bunayat,0,0,564.0,97008.0,1,0,9,3,564.0,1,36,90439.4062483583,6568.593751641703,6.77,80K-120K
A536,9,122,3,1,1,3,1,1,0,0,0,0,0,1,168,Amman,Bunayat,0,0,506.0,85008.0,1,0,9,2,506.0,1,36,90300.44906470581,-5292.449064705812,-6.23,80K-120K
A537,9,131,3,1,1,3,1,1,1,0,0,0,0,1,172,Amman,Bunayat,0,0,523.0,89956.0,1,0,9,3,523.0,1,36,90439.4062483583,-483.4062483582966,-0.54,80K-120K
A538,9,132,3,1,1,3,1,1,0,0,0,0,0,1,168,Amman,Bunayat,0,0,518.0,87024.0,1,0,9,2,518.0,1,36,90300.44906470581,-3276.449064705812,-3.76,80K-120K
A539,5,-101,3,1,1,4,1,1,1,0,1,0,0,0,230,Amman,Bunayat,0,0,478.0,109940.0,0,1,10,3,478.0,1,36,139735.1249871555,-29795.12498715549,-27.1,80K-120K
A540,5,101,3,1,1,4,1,1,1,1,0,0,0,0,230,Amman,Bunayat,0,0,522.0,120060.0,1,0,10,3,522.0,1,36,146133.79566611134,-26073.795666111342,-21.72,120K-180K
A541,5,102,3,1,1,3,1,1,1,1,1,0,0,0,196,Amman,Bunayat,0,0,587.0,115052.0,1,0,9,4,587.0,1,36,118837.61635527298,-3785.616355272985,-3.29,80K-120K
A542,5,111,3,1,1,4,1,1,1,0,0,0,0,1,230,Amman,Bunayat,0,0,491.0,112930.0,1,0,10,3,491.0,1,36,121972.49192133347,-9042.491921333465,-8.01,80K-120K
A543,5,112,3,1,1,3,1,1,1,0,0,0,0,1,196,Amman,Bunayat,0,0,536.0,105056.0,1,0,9,3,536.0,1,36,108830.77819199473,-3774.77819199473,-3.59,80K-120K
A544,5,121,3,1,1,4,1,1,1,0,0,0,0,1,230,Amman,Bunayat,0,0,500.0,115000.0,1,0,10,3,500.0,1,36,121972.49192133347,-6972.491921333465,-6.06,80K-120K
A545,5,122,3,1,1,3,1,1,1,0,0,0,0,1,196,Amman,Bunayat,0,0,485.0,95060.0,1,0,9,3,485.0,1,36,108830.77819199473,-13770.77819199473,-14.49,80K-120K
A546,5,131,4,1,1,5,1,1,1,1,0,0,1,1,280,Amman,Bunayat,0,0,429.0,120120.0,1,0,12,5,429.0,1,36,124414.84661262693,-4294.846612626934,-3.58,120K-180K
A547,5,132,4,1,1,5,1,1,1,1,0,1,1,1,237,Amman,Bunayat,0,0,506.0,119922.0,1,0,12,6,506.0,1,36,122530.5582663448,-2608.5582663448004,-2.18,80K-120K
A548,12,-101,3,1,1,3,1,1,1,0,0,0,0,0,167,Amman,Bunayat,0,0,539.0,90013.0,0,1,9,2,539.0,1,36,90524.91197213475,-511.91197213475243,-0.57,80K-120K
A549,12,-102,3,1,1,3,1,1,1,0,1,0,0,0,167,Amman,Bunayat,0,0,599.0,100033.0,0,1,9,3,599.0,1,36,91603.26223904535,8429.737760954653,8.43,80K-120K
A550,12,101,3,1,1,3,1,1,1,1,0,0,0,0,167,Amman,Bunayat,0,0,600.0,100200.0,1,0,9,3,600.0,1,36,101000.68912043855,-800.6891204385465,-0.8,80K-120K
A551,12,102,3,1,1,3,1,1,1,1,0,0,0,0,167,Amman,Bunayat,0,0,590.0,98530.0,1,0,9,3,590.0,1,36,101000.68912043855,-2470.6891204385465,-2.51,80K-120K
A552,12,111,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,521.0,87007.0,1,0,9,3,521.0,1,36,90164.72807027143,-3157.7280702714343,-3.63,80K-120K
A553,12,112,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,540.0,90180.0,1,0,9,3,540.0,1,36,90164.72807027143,15.271929728565738,0.02,80K-120K
A554,12,121,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,530.0,88510.0,1,0,9,3,530.0,1,36,90164.72807027143,-1654.7280702714343,-1.87,80K-120K
A555,12,122,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,550.0,91850.0,1,0,9,3,550.0,1,36,90164.72807027143,1685.2719297285657,1.83,80K-120K
A556,12,131,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,545.0,91015.0,1,0,9,3,545.0,1,36,90164.72807027143,850.2719297285657,0.93,80K-120K
A557,12,132,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,534.0,89178.0,1,0,9,3,534.0,1,36,90164.72807027143,-986.7280702714343,-1.11,80K-120K
A558,12,-101,3,1,1,3,1,1,1,0,0,0,0,0,167,Amman,Bunayat,0,0,520.0,86840.0,0,1,9,2,520.0,1,36,90524.91197213475,-3684.9119721347524,-4.24,80K-120K
A559,12,-102,3,1,1,3,1,1,1,0,1,0,0,0,167,Amman,Bunayat,0,0,610.0,101870.0,0,1,9,3,610.0,1,36,91603.26223904535,10266.737760954653,10.08,80K-120K
A560,12,101,3,1,1,3,1,1,1,1,0,0,0,0,167,Amman,Bunayat,0,0,629.0,105043.0,1,0,9,3,629.0,1,36,101000.68912043855,4042.3108795614535,3.85,80K-120K
A561,12,102,3,1,1,3,1,1,1,1,0,0,0,0,167,Amman,Bunayat,0,0,660.0,110220.0,1,0,9,3,660.0,1,36,101000.68912043855,9219.310879561453,8.36,80K-120K
A562,12,111,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,533.0,89011.0,1,0,9,3,533.0,1,36,90164.72807027143,-1153.7280702714343,-1.3,80K-120K
A563,12,112,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,542.0,90514.0,1,0,9,3,542.0,1,36,90164.72807027143,349.27192972856574,0.39,80K-120K
A564,12,121,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,523.0,87341.0,1,0,9,3,523.0,1,36,90164.72807027143,-2823.7280702714343,-3.23,80K-120K
A565,12,122,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,543.0,90681.0,1,0,9,3,543.0,1,36,90164.72807027143,516.2719297285657,0.57,80K-120K
A566,12,131,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,525.0,87675.0,1,0,9,3,525.0,1,36,90164.72807027143,-2489.7280702714343,-2.84,80K-120K
A567,12,132,3,1,1,3,1,1,1,0,0,0,0,1,167,Amman,Bunayat,0,0,547.0,91349.0,1,0,9,3,547.0,1,36,90164.72807027143,1184.2719297285657,1.3,80K-120K
A568,1,-101,3,1,1,3,1,1,1,0,0,0,0,0,160,Amman,Bunayat,0,0,469.0,75040.0,0,1,9,2,469.0,1,36,76535.0303013941,-1495.0303013941011,-1.99,50K-80K
A569,1,-102,3,1,1,3,1,1,1,0,0,0,0,0,165,Amman,Bunayat,0,0,455.0,75075.0,0,1,9,2,455.0,1,36,83199.8531785054,-8124.853178505393,-10.82,50K-80K
A570,1,101,3,1,1,3,1,1,1,1,0,0,0,0,160,Amman,Bunayat,0,0,594.0,95040.0,1,0,9,3,594.0,1,36,94376.84431606223,663.1556839377736,0.7,80K-120K
A571,1,102,3,1,1,3,1,1,1,1,0,0,0,0,165,Amman,Bunayat,0,0,576.0,95040.0,1,0,9,3,576.0,1,36,95674.6035535632,-634.6035535631963,-0.67,80K-120K
A572,1,111,3,1,1,3,1,1,1,0,0,0,0,1,160,Amman,Bunayat,0,0,519.0,83040.0,1,0,9,3,519.0,1,36,81137.8769708774,1902.1230291225947,2.29,80K-120K
A573,1,112,3,1,1,3,1,1,1,0,0,0,0,1,165,Amman,Bunayat,0,0,503.0,82995.0,1,0,9,3,503.0,1,36,86142.46155614669,-3147.4615561466926,-3.79,80K-120K
A574,1,121,3,1,1,3,1,1,1,0,0,0,0,1,160,Amman,Bunayat,0,0,519.0,83040.0,1,0,9,3,519.0,1,36,81137.8769708774,1902.1230291225947,2.29,80K-120K
A575,1,122,3,1,1,3,1,1,1,0,0,0,0,1,165,Amman,Bunayat,0,0,506.0,83490.0,1,0,9,3,506.0,1,36,86142.46155614669,-2652.4615561466926,-3.18,80K-120K
